ticket,jira_found,is_valid_bug_fixed,has_affected_versions,has_fix_versions,commits_found,non_merge_commits_found,fix_like_commits_found,java_files_touched,linked_to_git,linked_to_java,usable_for_szz
STORM-4154,YES,YES,YES,YES,1,1,1,2,YES,YES,YES
STORM-4149,YES,YES,YES,YES,0,0,0,0,NO,NO,NO
STORM-4148,YES,YES,YES,YES,0,0,0,0,NO,NO,NO
STORM-4106,YES,YES,YES,YES,1,1,1,0,YES,NO,NO
STORM-4104,YES,YES,YES,YES,1,1,1,2,YES,YES,YES
STORM-4085,YES,YES,NO,YES,1,1,0,1,YES,YES,YES
STORM-4077,YES,YES,YES,YES,0,0,0,0,NO,NO,NO
STORM-4069,YES,YES,YES,YES,1,1,0,1,YES,YES,YES
STORM-4060,YES,YES,YES,YES,4,3,0,7,YES,YES,YES
STORM-4057,YES,YES,YES,YES,1,0,0,0,YES,NO,NO
STORM-4055,YES,YES,YES,YES,1,1,1,15,YES,YES,YES
STORM-4052,YES,YES,YES,YES,0,0,0,0,NO,NO,NO
STORM-4051,YES,YES,NO,YES,1,1,0,4,YES,YES,YES
STORM-4037,YES,YES,NO,YES,0,0,0,0,NO,NO,NO
STORM-4025,YES,YES,YES,YES,1,1,0,1,YES,YES,YES
STORM-4024,YES,YES,YES,YES,1,1,1,1,YES,YES,YES
STORM-4023,YES,YES,YES,YES,1,1,0,1,YES,YES,YES
STORM-4018,YES,YES,YES,YES,2,1,0,1,YES,YES,YES
STORM-4017,YES,YES,YES,YES,2,1,2,2,YES,YES,YES
STORM-3994,YES,YES,YES,YES,2,1,0,0,YES,NO,NO
STORM-3984,YES,YES,YES,YES,2,1,0,1,YES,YES,YES
STORM-3956,YES,YES,YES,YES,0,0,0,0,NO,NO,NO
STORM-3954,YES,YES,YES,YES,1,1,0,0,YES,NO,NO
STORM-3944,YES,YES,YES,YES,2,1,1,2,YES,YES,YES
STORM-3940,YES,YES,YES,YES,0,0,0,0,NO,NO,NO
STORM-3924,YES,YES,NO,YES,0,0,0,0,NO,NO,NO
STORM-3923,YES,YES,YES,YES,1,1,0,0,YES,NO,NO
STORM-3917,YES,YES,YES,YES,1,0,0,0,YES,NO,NO
STORM-3876,YES,YES,NO,NO,0,0,0,0,NO,NO,NO
STORM-3875,YES,YES,NO,YES,1,1,0,1,YES,YES,YES
STORM-3862,YES,YES,YES,YES,1,1,0,2,YES,YES,YES
STORM-3838,YES,YES,NO,YES,1,1,0,2,YES,YES,YES
