ticket,commit_hash,java_file
STORM-4154,af4699946b1d2f599e5e08b5d3005aff0ee74a79,storm-server\src\main\java\org\apache\storm\daemon\nimbus\Nimbus.java
STORM-4154,af4699946b1d2f599e5e08b5d3005aff0ee74a79,storm-server\src\test\java\org\apache\storm\daemon\nimbus\NimbusTest.java
STORM-4104,e3690f14dcc20e4659ccb7c1a8443c33a34cd69d,storm-client\src\jvm\org\apache\storm\utils\Utils.java
STORM-4104,e3690f14dcc20e4659ccb7c1a8443c33a34cd69d,storm-client\test\jvm\org\apache\storm\utils\UtilsTest.java
STORM-4085,2f6732c26c6fc9375389861798337b1e3ddb4e38,storm-server\src\main\java\org\apache\storm\localizer\AsyncLocalizer.java
STORM-4069,088c0ddf800aa10a96c4edec603cb2425d04bf8b,storm-client\src\jvm\org\apache\storm\trident\topology\MasterBatchCoordinator.java
STORM-4060,4d4fe3e80a3195c2e06446c980cf12e45c6dfd21,storm-client\src\jvm\org\apache\storm\messaging\netty\Client.java
STORM-4060,ec1e9d279ba7efcaa3897cbdeed2b4ea067775ba,storm-core\test\jvm\org\apache\storm\messaging\netty\NettyTest.java
STORM-4060,1ff0d6239b0a16bb43344bc35eaa7aaa115b8765,storm-client\src\jvm\org\apache\storm\Config.java
STORM-4060,1ff0d6239b0a16bb43344bc35eaa7aaa115b8765,storm-client\src\jvm\org\apache\storm\messaging\netty\Client.java
STORM-4060,1ff0d6239b0a16bb43344bc35eaa7aaa115b8765,storm-client\src\jvm\org\apache\storm\validation\ConfigValidation.java
STORM-4060,1ff0d6239b0a16bb43344bc35eaa7aaa115b8765,storm-client\src\jvm\org\apache\storm\validation\ConfigValidationAnnotations.java
STORM-4060,1ff0d6239b0a16bb43344bc35eaa7aaa115b8765,storm-client\test\jvm\org\apache\storm\TestConfigValidate.java
STORM-4055,14f09446f33cf163d784a05ff4e23ce6547d7ddb,external\storm-kafka-client\src\main\java\org\apache\storm\kafka\spout\KafkaSpout.java
STORM-4055,14f09446f33cf163d784a05ff4e23ce6547d7ddb,external\storm-kafka-client\src\main\java\org\apache\storm\kafka\spout\internal\ClientFactory.java
STORM-4055,14f09446f33cf163d784a05ff4e23ce6547d7ddb,external\storm-kafka-client\src\main\java\org\apache\storm\kafka\spout\internal\ClientFactoryDefault.java
