ticket,commit_hash,commit_date,subject,is_fix_like,is_merge_commit
STORM-4154,af4699946b1d2f599e5e08b5d3005aff0ee74a79,2025-01-14T16:50:04Z,STORM-4154 - fix: Nimbus downtime during topology deployment (#3833),True,False
STORM-4106,6aee95d4fc738b6b6a2dd2295b375b04215c97d6,2024-11-09T21:04:04Z,STORM-4106 Fix Storm.ps1 stdout/stderr feedback in Powershell ISE,True,False
STORM-4104,e3690f14dcc20e4659ccb7c1a8443c33a34cd69d,2024-11-07T22:05:21Z,STORM-4104 Fix Pacemaker server stability issues,True,False
STORM-4085,2f6732c26c6fc9375389861798337b1e3ddb4e38,2024-10-09T08:26:44+01:00,STORM-4085 - Ensure that DownloadOrUpdate exception is caught (#3704),False,False
STORM-4069,088c0ddf800aa10a96c4edec603cb2425d04bf8b,2024-08-09T19:52:14+02:00,STORM-4069 - java.lang.ClassCastException for Trident-based Topology,False,False
STORM-4060,19148e0957cf2d41e5077571a0c02dbbef95cfec,2024-06-24T14:32:44+01:00,Merge pull request #3642 from reiabreu/master,False,True
STORM-4060,4d4fe3e80a3195c2e06446c980cf12e45c6dfd21,2024-06-24T11:25:34+01:00,STORM-4060: exposing Netty flush timeout as a configurable property,False,False
STORM-4060,ec1e9d279ba7efcaa3897cbdeed2b4ea067775ba,2024-06-23T20:00:45+01:00,STORM-4060: exposing Netty flush timeout as a configurable property,False,False
STORM-4060,1ff0d6239b0a16bb43344bc35eaa7aaa115b8765,2024-06-23T18:53:14+01:00,STORM-4060: exposing Netty flush timeout as a configurable property,False,False
STORM-4057,bd9c38a3007ab1c739da0a3b47d8397d8b02cc10,2024-06-13T08:56:41+01:00,Merge pull request #3640 from steveclark72/check_userid,False,True
STORM-4055,14f09446f33cf163d784a05ff4e23ce6547d7ddb,2024-09-04T18:41:37+05:30,STORM-4055 Kafka Consumer ConcurrentModificationException fix (#3691),True,False
STORM-4051,d0f5be316ccd02c3c5555f1750537debcd383ae3,2024-04-05T12:45:12-05:00,STORM-4051 - Scheduler needs to include acker memory for topology resources (#3633),False,False
STORM-4025,d03ba19ded80759ca444153e51dea0d92c94c599,2024-01-25T11:27:41+01:00,STORM-4025 - ClassCastException when changing log level in Storm UI,False,False
STORM-4024,cbca641fd48a5828af2248aaedd5be5948cd3e8a,2024-01-24T16:15:44Z,STORM-4024 Fix Bolt Input Stats are blank if topology.acker.executors is null or 0,True,False
STORM-4023,eb982a16c12ea8e80c2749728df5ff82663534ec,2024-01-23T17:13:19-06:00,[STORM-4023] Background periodic Kerberos re-login should use same JAAS configuration as initial login,False,False
