ticket,issue_type,status,resolution,created,resolutiondate,affected_versions,fix_versions,summary
STORM-4154,Bug,Resolved,Fixed,2025-01-13T12:06:14.483+0000,2025-01-14T17:06:27.439+0000,2.7.0,2.8.0,Nimbus down following topology deployment
STORM-4149,Bug,Closed,Fixed,2025-01-10T12:22:14.278+0000,2025-01-10T12:22:18.085+0000,2.7.0,2.8.0,Decode ComponentId to avoid UI throwing errors
STORM-4148,Bug,Closed,Fixed,2025-01-10T11:22:54.114+0000,2025-01-10T14:21:59.829+0000,2.7.0,2.8.0,Storm UI throwing error on Component page
STORM-4106,Bug,Closed,Fixed,2024-11-09T21:00:34.678+0000,2024-11-11T20:25:26.419+0000,2.5.0,2.7.1,Storm.ps1 does not show stdout\stderr output when launched from Powershell ISE
STORM-4104,Bug,Closed,Fixed,2024-11-07T19:59:32.093+0000,2024-11-11T08:14:03.975+0000,2.0.0,2.7.1,Pacemaker server stability issues - e.g. shuts down when topology killed
STORM-4085,Bug,Closed,Fixed,2024-10-08T17:34:48.606+0000,2024-11-18T18:40:36.777+0000,,2.7.0,Supervisor Threads being Killed
STORM-4077,Bug,Closed,Fixed,2024-08-22T17:45:33.318+0000,2024-11-18T18:41:12.441+0000,2.6.1,2.7.0,Worker being reassigned when Nimbus leadership changes
STORM-4069,Bug,Closed,Fixed,2024-08-09T17:49:32.716+0000,2024-08-31T21:48:41.116+0000,2.6.0;2.6.1;2.6.2,2.7.0,java.lang.ClassCastException for Trident-based Topology
STORM-4060,Bug,Closed,Fixed,2024-06-20T20:10:51.442+0000,2024-06-25T10:06:23.143+0000,1.1.3;1.2.4;2.6.2,2.6.3,Netty client will wait up to 10 minutes to send messages to unreachable worker on close()
STORM-4057,Bug,Closed,Fixed,2024-06-07T18:36:26.692+0000,2024-07-02T09:16:16.156+0000,2.6.1,2.6.3,Fix Worker Termination in K8S with Security Context
STORM-4055,Bug,Closed,Fixed,2024-04-30T21:45:10.003+0000,2024-11-18T18:41:53.485+0000,2.6.1,2.7.0,ConcurrentModificationException on KafkaConsumer when running topology with Metrics Reporters
STORM-4052,Bug,Closed,Fixed,2024-04-05T18:15:33.137+0000,2024-04-07T18:17:49.208+0000,2.6.1;2.6.2,2.6.3,Simplify/Remove double delete/lookup in heartbeat cleanup code
STORM-4051,Bug,Closed,Fixed,2024-04-05T17:44:40.816+0000,2024-04-05T17:45:30.376+0000,,2.6.3,Scheduler needs to include acker memory for topology resources
STORM-4037,Bug,Resolved,Fixed,2024-02-28T21:49:00.648+0000,2024-05-23T11:27:59.633+0000,,2.6.2,confluent maven resolver may not be necessary any more
STORM-4025,Bug,Closed,Fixed,2024-01-25T08:33:37.474+0000,2024-01-25T11:21:50.251+0000,2.6.0,2.6.1,ClassCastException when changing log level in Storm UI
STORM-4024,Bug,Closed,Fixed,2024-01-24T14:59:19.447+0000,2024-01-25T10:22:11.994+0000,2.0.0,2.6.1,Bolt Input Stats are blank if topology.acker.executors is null or 0
STORM-4023,Bug,Closed,Fixed,2024-01-23T16:34:24.069+0000,2024-01-25T10:22:45.409+0000,2.6.0,2.6.1,Background periodic Kerberos re-login should use same JAAS configuration as initial login
STORM-4018,Bug,Closed,Fixed,2024-01-09T14:27:27.131+0000,2024-01-16T08:23:24.432+0000,2.6.0,2.6.1,Wrong order of the params in Storm API resource
STORM-4017,Bug,Closed,Fixed,2024-01-05T20:45:31.694+0000,2024-01-16T07:14:38.226+0000,2.3.0;2.4.0;2.5.0;2.6.0,2.6.1,isAnyWindowsProcessAlive does not work with multiple pids
STORM-3994,Bug,Closed,Fixed,2023-11-02T15:12:04.570+0000,2023-11-09T14:03:27.184+0000,2.5.0,2.6.0,LocalCluster init fails on Windows because of missing librocksdbjni-win64.dll
STORM-3984,Bug,Resolved,Fixed,2023-09-25T15:22:31.088+0000,2023-09-26T05:47:32.349+0000,2.5.0,2.6.0,Nimbus failover causes unnecessary reassign if 600s are passed after starting Nimbus
STORM-3956,Bug,Closed,Fixed,2023-08-17T10:19:56.097+0000,2023-08-25T07:26:57.533+0000,2.3.0,2.6.0,Fix cli monitor component's argument type
STORM-3954,Bug,Closed,Fixed,2023-08-15T19:59:58.072+0000,2023-08-24T14:45:29.730+0000,2.6.0,2.6.0,Remove Logback pulled in by Zookeeper
STORM-3944,Bug,Resolved,Fixed,2023-08-08T08:15:32.179+0000,2023-08-08T14:06:49.456+0000,2.5.0,2.6.0,ConcurrentModificationException  in MultiCountMetric
STORM-3940,Bug,Closed,Fixed,2023-08-01T08:56:31.570+0000,2023-08-02T09:34:04.131+0000,2.4.0,2.5.0,Missing dependency prevents Storm from being built
STORM-3924,Bug,Closed,Fixed,2023-06-19T15:15:08.339+0000,2023-08-25T10:18:21.518+0000,,2.6.0,Support for declaring WorkerHook in Flux topology definitions
STORM-3923,Bug,Closed,Fixed,2023-06-16T17:20:39.501+0000,2023-06-19T14:17:42.973+0000,2.4.0,2.5.0,Cassandra module fails tests probably OOM
STORM-3917,Bug,Resolved,Fixed,2023-05-08T16:58:47.605+0000,2023-05-12T12:58:38.922+0000,2.4.0,2.5.0,Hardcoded worker heapsize in ThroughputVsLatency
