ticket,jira_found,is_valid_bug_fixed,has_affected_versions,has_fix_versions,commits_found,non_merge_commits_found,fix_like_commits_found,java_files_touched,linked_to_git,linked_to_java,usable_for_szz
SYNCOPE-1963,YES,YES,YES,YES,2,2,0,5,YES,YES,YES
SYNCOPE-1962,YES,YES,YES,YES,1,1,0,0,YES,NO,NO
SYNCOPE-1960,YES,YES,YES,YES,3,3,0,36,YES,YES,YES
SYNCOPE-1959,YES,YES,YES,YES,2,2,0,2,YES,YES,YES
SYNCOPE-1957,YES,YES,YES,YES,4,4,0,22,YES,YES,YES
SYNCOPE-1956,YES,YES,YES,YES,3,3,0,37,YES,YES,YES
SYNCOPE-1945,YES,YES,YES,YES,3,3,0,40,YES,YES,YES
SYNCOPE-1944,YES,YES,YES,YES,2,2,2,19,YES,YES,YES
SYNCOPE-1943,YES,YES,YES,YES,3,3,3,0,YES,NO,NO
SYNCOPE-1942,YES,YES,YES,YES,2,2,0,30,YES,YES,YES
SYNCOPE-1937,YES,YES,YES,YES,4,4,4,11,YES,YES,YES
SYNCOPE-1936,YES,YES,YES,YES,3,3,0,30,YES,YES,YES
SYNCOPE-1933,YES,YES,YES,YES,3,3,0,23,YES,YES,YES
SYNCOPE-1928,YES,YES,YES,YES,2,2,0,142,YES,YES,YES
SYNCOPE-1925,YES,YES,YES,YES,3,3,0,91,YES,YES,YES
SYNCOPE-1924,YES,YES,YES,YES,3,3,3,6,YES,YES,YES
SYNCOPE-1919,YES,YES,YES,YES,2,2,0,14,YES,YES,YES
SYNCOPE-1915,YES,YES,YES,YES,2,2,0,4,YES,YES,YES
SYNCOPE-1913,YES,YES,YES,YES,2,2,0,0,YES,NO,NO
SYNCOPE-1912,YES,YES,YES,YES,5,5,2,12,YES,YES,YES
SYNCOPE-1911,YES,YES,YES,YES,2,2,0,22,YES,YES,YES
SYNCOPE-1910,YES,YES,YES,YES,2,2,0,8,YES,YES,YES
SYNCOPE-1905,YES,YES,YES,YES,2,2,2,4,YES,YES,YES
SYNCOPE-1904,YES,YES,YES,YES,3,3,0,14,YES,YES,YES
SYNCOPE-1902,YES,YES,YES,YES,3,3,0,3,YES,YES,YES
SYNCOPE-1899,YES,YES,YES,YES,4,4,0,0,YES,NO,NO
SYNCOPE-1896,YES,YES,YES,YES,4,4,3,8,YES,YES,YES
SYNCOPE-1895,YES,YES,YES,YES,3,3,0,14,YES,YES,YES
SYNCOPE-1891,YES,YES,YES,YES,3,3,0,3,YES,YES,YES
SYNCOPE-1890,YES,YES,YES,YES,2,2,0,4,YES,YES,YES
