ticket,commit_hash,commit_date,subject,is_fix_like,is_merge_commit
SYNCOPE-1963,5f26f1fa29d8e97c7fba6679f82e307f87ac9066,2026-04-21T10:05:28+02:00,[SYNCOPE-1963] Check if null before pattern match,False,False
SYNCOPE-1963,a2c61c5b9877b47c680742f5b05c1832a9ac23e3,2026-04-21T10:05:28+02:00,[SYNCOPE-1963] Check if null before pattern match,False,False
SYNCOPE-1962,f5cb13d582ac8cde1674c7cd760a45083888f96f,2026-04-15T17:03:26+02:00,"[SYNCOPE-1962] Replace unknown(2014) with timestamp, shorten index and column names > 30 chars and change OIDCOpEntity.jwks from clob to blob (#1350)",False,False
SYNCOPE-1960,43a91b03819931b135b02d35783684f6bcc1f6aa,2026-04-08T09:52:47+02:00,[SYNCOPE-1960] Remove related attributes when removing aux classes,False,False
SYNCOPE-1960,c1c3c807ff11fbb6c9578902379c1cbe602b307f,2026-04-08T09:52:47+02:00,[SYNCOPE-1960] Remove related attributes when removing aux classes,False,False
SYNCOPE-1960,579c1cb518d3f2b9c1a515af6086a4cda563fa6a,2026-04-08T09:52:47+02:00,[SYNCOPE-1960] Remove related attributes when removing aux classes,False,False
SYNCOPE-1959,e0205a491c4d480165f7d5814d9a7a96f91f587c,2026-04-03T20:23:07+02:00,[SYNCOPE-1959] solved group relationship management error in console (#1338),False,False
SYNCOPE-1959,45b260e00ed3a88629ae7a5a345d7a021aa0f0c8,2026-04-03T20:23:07+02:00,[SYNCOPE-1959] solved group relationship management error in console (#1338),False,False
SYNCOPE-1957,0ec35f363487f4e3932b6660f84cb354b4ae9384,2026-03-28T07:38:58+01:00,[SYNCOPE-1957] Avoid auxClasses changes double processing during update,False,False
SYNCOPE-1957,893db9cb2f69289d5fea658c7512067c9fccf2ae,2026-03-27T18:26:07+01:00,[SYNCOPE-1957] Process auxClasses changes before attributes during update,False,False
SYNCOPE-1957,f6a1af9426f1d7ce7eeb82d933d1b1ed9df265de,2026-03-27T18:26:07+01:00,[SYNCOPE-1957] Process auxClasses changes before attributes during update,False,False
SYNCOPE-1957,bb7f727dc7effa80c186c51b754bd12ad654bafa,2026-03-27T18:26:07+01:00,[SYNCOPE-1957] Process auxClasses changes before attributes during update,False,False
SYNCOPE-1956,9c3b724c131d758a09148d5e6969721e0600fd8e,2026-03-20T18:24:43+01:00,[SYNCOPE-1956] Ensure to build empty multivalue attrs (#1324),False,False
SYNCOPE-1956,f13b9a4cc34964c6b644b49c370b2afd6eff3893,2026-03-20T18:24:43+01:00,[SYNCOPE-1956] Ensure to build empty multivalue attrs (#1324),False,False
SYNCOPE-1956,f5cd42852818ca2160f61522df4f75f0e971307a,2026-03-20T18:24:43+01:00,[SYNCOPE-1956] Ensure to build empty multivalue attrs (#1324),False,False
