ticket,issue_type,status,resolution,created,resolutiondate,affected_versions,fix_versions,summary
SYNCOPE-1963,Bug,Closed,Fixed,2026-04-20T15:38:28.017+0000,2026-04-21T08:37:29.949+0000,4.1.0,4.1.1;5.0.0,"Error while searching for user or group manager not null or null on user, group and any objects"
SYNCOPE-1962,Bug,Closed,Fixed,2026-04-15T13:24:55.460+0000,2026-04-15T15:06:28.111+0000,4.1.0;4.1.1,4.1.1,Error during database upgrade procedure on Oracle 23
SYNCOPE-1960,Bug,Closed,Fixed,2026-04-07T15:57:09.940+0000,2026-04-08T10:01:15.074+0000,4.0.5;4.1.0,4.0.6;4.1.1;5.0.0,"Cannot remove aux class from user, group or any object"
SYNCOPE-1959,Bug,Closed,Fixed,2026-04-03T13:12:23.081+0000,2026-04-03T18:24:33.391+0000,4.1.0,4.1.1;5.0.0,Error while editing group relationships in admin console
SYNCOPE-1957,Bug,Closed,Fixed,2026-03-26T15:17:02.720+0000,2026-03-27T18:49:50.218+0000,4.0.4;4.1.0-M0,4.0.5;4.1.0;5.0.0,"Wrong validation triggered while updating users, groups or any objects after auxiliary class change"
SYNCOPE-1956,Bug,Closed,Fixed,2026-03-20T10:24:12.862+0000,2026-03-20T17:36:49.842+0000,4.0.4;4.0.5,4.0.5;4.1.0;5.0.0,Dropdown multivalue PlainAttr not updated via Console
SYNCOPE-1945,Bug,Closed,Fixed,2026-01-22T09:41:47.963+0000,2026-03-27T15:06:32.749+0000,4.0.3;4.0.4,4.0.5;4.1.0;5.0.0,Tasks result not visible until the refresh is triggered
SYNCOPE-1944,Bug,Closed,Fixed,2026-01-15T11:58:13.868+0000,2026-01-15T16:23:46.499+0000,3.0.15;4.0.3,4.0.4;4.1.0-M0,Membership derived attributes are not computed from membership plain attributes
SYNCOPE-1943,Bug,Closed,Fixed,2026-01-15T10:58:35.698+0000,2026-01-16T08:26:03.669+0000,3.0.15;4.0.3,3.0.16;4.0.4;4.1.0-M0,French Canadian GUI failed with Groups contextual menu
SYNCOPE-1942,Bug,Closed,Fixed,2025-12-30T09:13:20.595+0000,2026-01-19T10:50:13.404+0000,4.0.0-M1;4.0.0;4.0.1;4.0.2;4.0.3,4.0.4;4.1.0-M0,Menu localization doesn't work properly on admin console
SYNCOPE-1937,Bug,Closed,Fixed,2025-12-05T13:58:41.351+0000,2025-12-06T06:36:42.055+0000,3.0.15;4.0.3,3.0.16;4.0.4;4.1.0-M0,User password history length is not correctly trimmed
SYNCOPE-1936,Bug,Closed,Fixed,2025-12-01T15:28:06.177+0000,2025-12-03T06:33:48.340+0000,3.0.15;4.0.3,3.0.16;4.0.4;4.1.0-M0,WA: only SIGNATURE and CURRENT keys generated for OIDC
SYNCOPE-1933,Bug,Closed,Fixed,2025-11-26T12:12:40.048+0000,2025-11-26T13:46:25.353+0000,3.0.15;4.0.3,3.0.16;4.0.4;4.1.0-M0,Console: only first dynamic group is shown
SYNCOPE-1928,Bug,Closed,Fixed,2025-11-05T10:15:16.107+0000,2025-11-07T12:06:44.457+0000,3.0.14;4.0.2,4.0.3;4.1.0-M0,Session timeout not working for Console
SYNCOPE-1925,Bug,Closed,Fixed,2025-10-29T11:51:02.703+0000,2025-10-30T08:01:54.581+0000,3.0.14;4.0.2,3.0.15;4.0.3;4.1.0-M0,Contextual menu stays open after modal window is closed
SYNCOPE-1924,Bug,Closed,Fixed,2025-10-27T14:54:55.936+0000,2025-10-28T07:29:24.720+0000,3.0.14;4.0.2,3.0.15;4.0.3;4.1.0-M0,"Bug in retainAll, removeAll, and removeIf methods of PropagationByResource"
SYNCOPE-1919,Bug,Closed,Fixed,2025-09-30T14:48:25.488+0000,2025-10-01T11:27:23.405+0000,4.0.1,4.0.2;4.1.0-M0,Notification Job occasionally stuck
SYNCOPE-1915,Bug,Closed,Fixed,2025-09-23T12:22:18.471+0000,2025-09-23T12:24:06.759+0000,4.0.1,4.0.2;4.1.0-M0,Failure when running the Persistence Storage Upgrader against Oracle DBMS
SYNCOPE-1913,Bug,Closed,Fixed,2025-09-17T08:51:46.343+0000,2025-09-17T10:39:55.841+0000,4.0.1;4.0.2,4.0.2;4.1.0-M0,Missing dependency to resolve inline Groovy in Syncope WA
SYNCOPE-1912,Bug,Closed,Fixed,2025-09-12T08:40:15.028+0000,2025-09-15T10:33:09.633+0000,3.0.13;4.0.1,3.0.14;4.0.2;4.1.0-M0,Linked account password is not propagated on update
SYNCOPE-1911,Bug,Closed,Fixed,2025-09-11T09:58:17.923+0000,2025-09-19T10:27:36.981+0000,3.0.13;4.0.1,4.0.2;4.1.0-M0,Case sensisitve search failing with Elasticsearch or OpenSearch
SYNCOPE-1910,Bug,Closed,Fixed,2025-09-10T07:49:23.758+0000,2025-09-10T09:17:18.348+0000,4.0.1,4.0.2;4.1.0-M0,Tasks and Reports executed nevertheless inactive
SYNCOPE-1905,Bug,Closed,Fixed,2025-08-12T15:27:55.584+0000,2025-08-13T09:33:22.547+0000,4.0.1,4.0.2;4.1.0-M0,Error while pulling a specific group (single pull) from resource
SYNCOPE-1904,Bug,Closed,Fixed,2025-08-06T07:27:26.412+0000,2025-08-06T09:53:27.786+0000,3.0.12;4.0.0,3.0.13;4.0.1;4.1.0-M0,Console: cannot edit authentication.attributes under Keymaster > Parameters
SYNCOPE-1902,Bug,Closed,Fixed,2025-08-05T09:38:49.906+0000,2025-08-05T11:09:10.121+0000,3.0.12;4.0.0,3.0.13;4.0.1;4.1.0-M0,Can't set Unauthorized Redirect URL in access policy via Console
SYNCOPE-1899,Bug,Closed,Fixed,2025-07-29T06:49:57.623+0000,2025-07-29T07:07:09.325+0000,4.0.0,4.0.1;4.1.0-M0,Console: code editor does not persist changes
SYNCOPE-1896,Bug,Closed,Fixed,2025-07-23T09:07:17.817+0000,2025-07-23T10:03:21.000+0000,3.0.12;4.0.0,3.0.13;4.0.1;4.1.0-M0,Audit: not serializable exception for ConnectorObject and Any instances
SYNCOPE-1895,Bug,Closed,Fixed,2025-07-21T10:19:02.121+0000,2025-08-01T12:35:16.434+0000,3.0.12;4.0.0,3.0.13;4.0.1;4.1.0-M0,Console CSV export does not consider search filter
SYNCOPE-1891,Bug,Closed,Fixed,2025-07-03T10:16:56.568+0000,2025-07-03T13:20:46.719+0000,3.0.12;4.0.0,3.0.13;4.0.1;4.1.0-M0,Missing mapped attribute setting for SAML2IdPAuthModuleConf
SYNCOPE-1890,Bug,Closed,Fixed,2025-06-30T07:13:22.321+0000,2025-07-01T09:55:07.434+0000,4.0.0,4.0.1;4.1.0-M0,Configure max retry attempts for login with Syncope authentication module on WA
SYNCOPE-1888,Bug,Closed,Fixed,2025-05-28T09:37:21.204+0000,2025-05-28T10:43:18.817+0000,3.0.12;4.0.0,3.0.13;4.0.1;4.1.0-M0,Console: change required property for specific inputs in policy configuration
SYNCOPE-1884,Bug,Closed,Fixed,2025-05-19T10:35:00.137+0000,2025-05-19T12:34:47.516+0000,3.0.11;4.0.0-M1,3.0.12;4.0.0;4.1.0-M0,Errors with Encrypted plain values
SYNCOPE-1883,Bug,Closed,Fixed,2025-05-14T14:22:47.394+0000,2025-05-15T10:36:09.146+0000,3.0.11;4.0.0-M1,3.0.12;4.0.0;4.1.0-M0,Google MFA authentication does not validate scratch codes
SYNCOPE-1882,Bug,Closed,Fixed,2025-05-14T10:38:31.875+0000,2025-05-14T10:47:24.988+0000,4.0.0-M1,4.0.0;4.1.0-M0,Multivalue dropdown attributes show additional empty selectable value
SYNCOPE-1881,Bug,Closed,Fixed,2025-05-13T10:07:47.037+0000,2025-05-13T10:32:17.639+0000,4.0.0-M1,4.0.0;4.1.0-M0,WA: SP Metadata not fetched from Core
